Chester Township,PA,Sun Center Studios,"3,000",[276][277]
Roanoke,VA,Berglund Center,"9,000",[278]
Melbourne,FL,Orlando Melbourne International Airport,,[279][280]
Council Bluffs,IA,Mid-America Center,"1,200",[281]
Waukesha,WI,Waukesha County Expo Center,"1,500",[282]
Bedford,NH,NH Sportsplex,900,[283]
Novi,MI,Suburban Collection Showplace,"6,000",[284][285]
Manheim,PA,Spooky Nook Sports,"6,000",[286]
Pueblo,CO,Pueblo Convention Center,"2,000",[287]
Loveland,CO,Budweiser Events Center,"8,000",[287]
Prescott Valley,AZ,Prescott Valley Event Center,"7,000",[288]
Henderson,NV,Henderson Pavilion,"7,000",[289]
Reno,NV,Reno-Sparks Convention Center,,[290][291]
Ambridge,PA,Ambridge Area High School,"3,000",[292]
Wilkes-Barre,PA,Mohegan Sun Arena at Casey Plaza,"9,000",[293]
Panama City Beach,FL,"Aaron Bessant Amphitheater, Aaron Bessant Park","8,500",[294]
Ocala,FL,Southeastern Livestock Pavilion,"12,000",[295]
Lakeland,FL,Lakeland Linder International Airport,"7,000",[296]
West Palm Beach,FL,South Florida Fairgrounds Expo Center,"6,000",[297]
Cincinnati,OH,U.S. Bank Arena,,[298][299]
Greensboro,NC,White Oak Amphitheatre,"4,000",[300]
Charlotte,NC,Charlotte Convention Center,"5,000",[301]
Portsmouth,NH,Toyota of Portsmouth,"7,000",[302]
Bangor,ME,Cross Insurance Center,"4,000",[303]
Green Bay,WI,KI Convention Center,"3,000",[304][305]
Colorado Springs,CO,Norris-Penrose Event Center,,[306][307]
Grand Junction,CO,"West Star Aviation, Grand Junction Regional Airport",,[308][309]
Delaware,OH,Delaware County Fair,"1,500",[310]
Fletcher,NC,WNC Agricultural Center,"3,100",[311]
Johnstown,PA,Cambria County War Memorial Arena,"4,000",[312][313][314]
Newtown Township,PA,Newtown Athletic Club Sports Training Center,"4,000",[315]
Virginia Beach,VA,"Library Plaza, Regent University","10,000",[316]
Cleveland,OH,I-X Center,,[317][318][319]
Naples,FL,Collier County Fairgrounds,"12,000",[320][321]
St. Augustine,FL,St. Augustine Amphitheatre,,[322][323]
Tampa,FL,MidFlorida Credit Union Amphitheatre,"15–28,000",[324][325][326]
Sanford,FL,"Million Air Orlando, Orlando Sanford International Airport","10,000",[327]
Tallahassee,FL,Tallahassee Car Museum,,[328][329][330]
Kinston,NC,"Kinston Jet Center, Kinston Regional Jetport","3,100",[331]
Springfield,OH,Clark County Fairgrounds,"5,000",[332]
Toledo,OH,SeaGate Convention Centre,"2,900",[333]
Geneva,OH,"Track and Field Building, SPIRE Institute","5,000",[334]
Manchester,NH,Radisson Hotel Manchester Downtown,,[335]
Lisbon,ME,Open Door Christian Academy,"1,200",[336]
Cedar Rapids,IA,McGrath Amphitheatre,"5,000",[337]
Golden,CO,Jefferson County Events Center,,[338][339]
Phoenix,AZ,Phoenix Convention Center,"8,000",[340]
Las Vegas,NV,The Venetian Las Vegas,"8,400",[341]
Greeley,CO,"Bank of Colorado Arena, University of Northern Colorado","3,000",[342]
Albuquerque,NM,"Atlantic Aviation ABQ, Albuquerque International Sunport","4,000",[343]
Grand Rapids,MI,DeltaPlex Arena,"6,500",[344]
Warren,MI,"Sports & Expo Center, Macomb Community CollegeSouth Campus","5,000",[345][129][130]
Eau Claire,WI,W.L. Zorn Arena,"3,000",[346]
Orlando,FL,"CFE Arena, Central Florida Fairgrounds","10,000",[347]
Pensacola,FL,Maritime Park's Hunter Amphitheater,"6–10,000",[347][348][349][350]
Miami,FL,Bayfront Park,"2,600",[351]
Jacksonville,FL,Jacksonville Equestrian Center,"4,000",[352]
Concord,NC,Cabarrus Arena & Events Center,"4,200",[353]
Selma,NC,The Farm,"15,000",[354]
Atkinson,NH,Atkinson Country Club,"1,000",[355]
Wilmington,OH,"Airborne Maintenance & Engineering Services, Inc","3,000",[356]
Hershey,PA,Giant Center,"13,000",[357][358]
Tampa,FL,Florida State Fairgrounds,"5–20,000",[347][359][360]
Wilmington,NC,Wilmington International Airport,"5,000",[347]
Reno,NV,Reno-Sparks Convention Center,"8,000",[347]
Denver,CO,National Western Complex,"8,000",[347]
Sioux City,IA,Sioux City Convention Center,"4,500",[347][361]
Minneapolis,MN,Sun Country Airlines,"9–20,000",[347][362]
Sterling Heights,MI,"Freedom Hill Amphitheater, Freedom Hill County Park","8,000",[363][364]
Moon Township,PA,Atlantic Aviation,"12,000",[365]
Leesburg,VA,"Agricultural hall, Loudoun Fairgrounds","9–20,000",[347][366][347]
Sarasota,FL,"Robarts Arena, Sarasota County Fairgrounds","5,000",[367]
Raleigh,NC,Dorton Arena,"7,000",[368]
Scranton,PA,Lackawanna College Student Union,"5,000",[369]
Manchester,NH,SNHU Arena,"12,000",[370]
Grand Rapids,MI,DeVos Place Convention Center,"4,200",[371]
